Tanggal,NO2
2023-01-01,
2023-01-02,
2023-01-03,
2023-01-04,3.408989e-05
2023-01-05,3.128635e-05
2023-01-06,
2023-01-07,
2023-01-08,4.8764014e-05
2023-01-09,
2023-01-10,4.888619e-05
2023-01-11,5.318101e-05
2023-01-12,6.530125e-06
2023-01-13,2.5532952e-05
2023-01-14,3.4040328e-05
2023-01-15,4.580525e-06
2023-01-16,
2023-01-17,2.2686761e-05
2023-01-18,
2023-01-19,
2023-01-20,
2023-01-21,
2023-01-22,
2023-01-23,
2023-01-24,
2023-01-25,
2023-01-26,
2023-01-27,
2023-01-28,
2023-01-29,
2023-01-30,
2023-01-31,
2023-02-01,
2023-02-02,
2023-02-03,
2023-02-04,
2023-02-05,
2023-02-06,
2023-02-07,
2023-02-08,
2023-02-09,3.7524147e-05
2023-02-10,
2023-02-11,
2023-02-12,
2023-02-13,
2023-02-14,
2023-02-15,
2023-02-16,
2023-02-17,
2023-02-18,
2023-02-19,
2023-02-20,5.63414e-05
2023-02-21,
2023-02-22,
2023-02-23,
2023-02-24,2.6898699e-05
2023-02-25,
2023-02-26,
2023-02-27,
2023-02-28,
2023-03-01,
2023-03-02,
2023-03-03,2.0006337e-05
2023-03-04,
2023-03-05,
2023-03-06,3.365425e-05
2023-03-07,3.5338788e-05
2023-03-08,
2023-03-09,
2023-03-10,1.112897e-05
2023-03-11,4.3899936e-07
2023-03-12,
2023-03-13,
2023-03-14,
2023-03-15,
2023-03-16,
2023-03-17,
2023-03-18,
2023-03-19,
2023-03-20,
2023-03-21,2.2086248e-05
2023-03-22,
2023-03-23,
2023-03-24,
2023-03-25,
2023-03-26,
2023-03-27,
2023-03-28,
2023-03-29,
2023-03-30,
2023-03-31,
2023-04-01,
2023-04-02,
2023-04-03,
2023-04-04,
2023-04-05,
2023-04-06,
2023-04-07,
2023-04-08,
2023-04-09,4.8854723e-05
2023-04-10,
2023-04-11,5.5385517e-05
2023-04-12,5.3047235e-05
2023-04-13,
2023-04-14,2.5955092e-05
2023-04-15,2.3718168e-05
2023-04-16,
2023-04-17,
2023-04-18,
2023-04-19,1.5705155e-05
2023-04-20,
2023-04-21,
2023-04-22,
2023-04-23,8.517032e-06
2023-04-24,1.3543506e-05
2023-04-25,
2023-04-26,
2023-04-27,
2023-04-28,
2023-04-29,
2023-04-30,
2023-05-01,
2023-05-02,
2023-05-03,
2023-05-04,1.1472951e-05
2023-05-05,1.8312074e-05
2023-05-06,3.3414173e-05
2023-05-07,2.3571407e-05
2023-05-08,1.5639402e-05
2023-05-09,
2023-05-10,
2023-05-11,
2023-05-12,1.0079972e-05
2023-05-13,3.17103e-05
2023-05-14,6.391637e-06
2023-05-15,2.4388997e-05
2023-05-16,3.6433452e-05
2023-05-17,1.8303499e-05
2023-05-18,1.2638443e-05
2023-05-19,
2023-05-20,3.4797504e-05
2023-05-21,1.4349613e-05
2023-05-22,9.115847e-06
2023-05-23,2.563797e-05
2023-05-24,1.5873877e-05
2023-05-25,3.0558072e-05
2023-05-26,2.9391595e-05
2023-05-27,2.3101844e-05
2023-05-28,1.801391e-05
2023-05-29,9.059782e-06
2023-05-30,1.6534086e-05
2023-05-31,8.356284e-06
2023-06-01,
2023-06-02,4.3416156e-05
2023-06-03,
2023-06-04,2.4801242e-05
2023-06-05,
2023-06-06,2.8158176e-05
2023-06-07,
2023-06-08,1.7996023e-05
2023-06-09,2.6244677e-05
2023-06-10,3.5320343e-05
2023-06-11,
2023-06-12,1.4371748e-05
2023-06-13,2.6965283e-05
2023-06-14,3.2612897e-05
2023-06-15,1.1796599e-05
2023-06-16,1.3186495e-05
2023-06-17,1.9296136e-05
2023-06-18,
2023-06-19,2.4340461e-05
2023-06-20,2.724137e-05
2023-06-21,1.656481e-05
2023-06-22,2.8654793e-05
2023-06-23,1.5249351e-05
2023-06-24,2.3701996e-05
2023-06-25,2.7458405e-05
2023-06-26,4.4841716e-05
2023-06-27,1.952245e-05
2023-06-28,2.7451724e-05
2023-06-29,2.0102112e-05
2023-06-30,1.0046642e-05
2023-07-01,2.3199782e-05
2023-07-02,2.33674e-05
2023-07-03,
2023-07-04,3.4695287e-05
2023-07-05,3.6123285e-05
2023-07-06,2.9041556e-05
2023-07-07,
2023-07-08,
2023-07-09,1.1881479e-05
2023-07-10,2.033263e-05
2023-07-11,8.269569e-06
2023-07-12,4.0545456e-05
2023-07-13,
2023-07-14,2.3472538e-05
2023-07-15,4.1612897e-05
2023-07-16,2.0338035e-05
2023-07-17,2.7907216e-05
2023-07-18,4.4762208e-05
2023-07-19,2.2380682e-05
2023-07-20,2.6609114e-05
2023-07-21,2.4599683e-05
2023-07-22,2.6457095e-05
2023-07-23,1.2231813e-05
2023-07-24,2.74977e-05
2023-07-25,3.2808523e-05
2023-07-26,2.4451234e-05
2023-07-27,1.450629e-05
2023-07-28,1.09926705e-05
2023-07-29,3.0824645e-05
2023-07-30,2.605834e-05
2023-07-31,2.5807467e-05
2023-08-01,1.2797412e-05
2023-08-02,1.985776e-05
2023-08-03,1.898494e-05
2023-08-04,6.788576e-06
2023-08-05,2.9319972e-05
2023-08-06,
2023-08-07,-1.692505e-05
2023-08-08,1.3938103e-05
2023-08-09,1.999905e-05
2023-08-10,3.878638e-05
2023-08-11,2.9573052e-05
2023-08-12,1.121757e-05
2023-08-13,2.2139622e-05
2023-08-14,3.13583e-05
2023-08-15,1.662485e-05
2023-08-16,9.95213e-06
2023-08-17,1.9926207e-05
2023-08-18,2.6080705e-05
2023-08-19,1.824382e-05
2023-08-20,2.2461043e-05
2023-08-21,
2023-08-22,1.8957944e-05
2023-08-23,9.474766e-06
2023-08-24,3.693821e-05
2023-08-25,2.3923036e-05
2023-08-26,1.638805e-05
2023-08-27,1.9356212e-05
2023-08-28,2.0825191e-05
2023-08-29,2.536684e-05
2023-08-30,1.0949804e-05
2023-08-31,2.4469831e-05
2023-09-01,8.699277e-06
2023-09-02,1.6198266e-05
2023-09-03,2.1576228e-05
2023-09-04,1.23892105e-05
2023-09-05,1.6895458e-05
2023-09-06,3.4803903e-05
2023-09-07,3.1970056e-05
2023-09-08,2.1197455e-05
2023-09-09,3.2714128e-05
2023-09-10,1.7449915e-05
2023-09-11,
2023-09-12,2.283312e-05
2023-09-13,8.330669e-06
2023-09-14,-2.1844742e-06
2023-09-15,1.4451304e-05
2023-09-16,4.070826e-06
2023-09-17,2.0682646e-05
2023-09-18,2.2741382e-05
2023-09-19,1.5599497e-05
2023-09-20,1.6593513e-05
2023-09-21,1.567833e-05
2023-09-22,2.677656e-05
2023-09-23,2.8749007e-05
2023-09-24,1.4843846e-05
2023-09-25,1.373743e-05
2023-09-26,1.7891385e-05
2023-09-27,-3.14781e-06
2023-09-28,2.7625494e-05
2023-09-29,2.000153e-05
2023-09-30,2.9649638e-05
2023-10-01,2.3792693e-06
2023-10-02,1.0709109e-05
2023-10-03,2.5844918e-05
2023-10-04,1.2819242e-05
2023-10-05,3.109184e-05
2023-10-06,3.7994498e-05
2023-10-07,8.585888e-06
2023-10-08,1.57607e-05
2023-10-09,2.826173e-06
2023-10-10,1.6903667e-05
2023-10-11,1.9168396e-05
2023-10-12,1.9004641e-05
2023-10-13,
2023-10-14,
2023-10-15,
2023-10-16,1.721315e-05
2023-10-17,3.2945427e-05
2023-10-18,2.684439e-05
2023-10-19,1.5693235e-05
2023-10-20,1.9167253e-05
2023-10-21,2.756558e-05
2023-10-22,2.9716937e-05
2023-10-23,
2023-10-24,1.648464e-05
2023-10-25,
2023-10-26,1.972413e-05
2023-10-27,2.759237e-05
2023-10-28,2.6651238e-05
2023-10-29,1.8035493e-05
2023-10-30,
2023-10-31,
2023-11-01,2.153001e-05
2023-11-02,1.725306e-05
