Tanggal,NO2,NO2_t-1,NO2_t-2,NO2_t-3
2023-01-07,4.2938126e-05,3.7112238000000004e-05,3.128635e-05,3.408989e-05
2023-01-08,4.8764014e-05,4.2938126e-05,3.7112238000000004e-05,3.128635e-05
2023-01-09,4.8825102e-05,4.8764014e-05,4.2938126e-05,3.7112238000000004e-05
2023-01-10,4.888619e-05,4.8825102e-05,4.8764014e-05,4.2938126e-05
2023-01-11,5.318101e-05,4.888619e-05,4.8825102e-05,4.8764014e-05
2023-01-12,6.530125e-06,5.318101e-05,4.888619e-05,4.8825102e-05
2023-01-13,2.5532952e-05,6.530125e-06,5.318101e-05,4.888619e-05
2023-01-14,3.4040328e-05,2.5532952e-05,6.530125e-06,5.318101e-05
2023-01-15,4.580525e-06,3.4040328e-05,2.5532952e-05,6.530125e-06
2023-01-16,1.3633643e-05,4.580525e-06,3.4040328e-05,2.5532952e-05
2023-01-17,2.2686761e-05,1.3633643e-05,4.580525e-06,3.4040328e-05
2023-01-18,2.3331864739130434e-05,2.2686761e-05,1.3633643e-05,4.580525e-06
2023-01-19,2.397696847826087e-05,2.3331864739130434e-05,2.2686761e-05,1.3633643e-05
2023-01-20,2.4622072217391303e-05,2.397696847826087e-05,2.3331864739130434e-05,2.2686761e-05
2023-01-21,2.526717595652174e-05,2.4622072217391303e-05,2.397696847826087e-05,2.3331864739130434e-05
2023-01-22,2.5912279695652173e-05,2.526717595652174e-05,2.4622072217391303e-05,2.397696847826087e-05
2023-01-23,2.655738343478261e-05,2.5912279695652173e-05,2.526717595652174e-05,2.4622072217391303e-05
2023-01-24,2.7202487173913042e-05,2.655738343478261e-05,2.5912279695652173e-05,2.526717595652174e-05
2023-01-25,2.784759091304348e-05,2.7202487173913042e-05,2.655738343478261e-05,2.5912279695652173e-05
2023-01-26,2.849269465217391e-05,2.784759091304348e-05,2.7202487173913042e-05,2.655738343478261e-05
2023-01-27,2.9137798391304348e-05,2.849269465217391e-05,2.784759091304348e-05,2.7202487173913042e-05
2023-01-28,2.978290213043478e-05,2.9137798391304348e-05,2.849269465217391e-05,2.784759091304348e-05
2023-01-29,3.0428005869565217e-05,2.978290213043478e-05,2.9137798391304348e-05,2.849269465217391e-05
2023-01-30,3.107310960869565e-05,3.0428005869565217e-05,2.978290213043478e-05,2.9137798391304348e-05
2023-01-31,3.171821334782608e-05,3.107310960869565e-05,3.0428005869565217e-05,2.978290213043478e-05
2023-02-01,3.236331708695652e-05,3.171821334782608e-05,3.107310960869565e-05,3.0428005869565217e-05
2023-02-02,3.3008420826086956e-05,3.236331708695652e-05,3.171821334782608e-05,3.107310960869565e-05
2023-02-03,3.365352456521739e-05,3.3008420826086956e-05,3.236331708695652e-05,3.171821334782608e-05
2023-02-04,3.429862830434782e-05,3.365352456521739e-05,3.3008420826086956e-05,3.236331708695652e-05
2023-02-05,3.494373204347826e-05,3.429862830434782e-05,3.365352456521739e-05,3.3008420826086956e-05
2023-02-06,3.5588835782608695e-05,3.494373204347826e-05,3.429862830434782e-05,3.365352456521739e-05
2023-02-07,3.6233939521739125e-05,3.5588835782608695e-05,3.494373204347826e-05,3.429862830434782e-05
2023-02-08,3.687904326086956e-05,3.6233939521739125e-05,3.5588835782608695e-05,3.494373204347826e-05
2023-02-09,3.7524147e-05,3.687904326086956e-05,3.6233939521739125e-05,3.5588835782608695e-05
2023-02-10,3.923480636363636e-05,3.7524147e-05,3.687904326086956e-05,3.6233939521739125e-05
2023-02-11,4.094546572727273e-05,3.923480636363636e-05,3.7524147e-05,3.687904326086956e-05
2023-02-12,4.2656125090909086e-05,4.094546572727273e-05,3.923480636363636e-05,3.7524147e-05
2023-02-13,4.436678445454545e-05,4.2656125090909086e-05,4.094546572727273e-05,3.923480636363636e-05
2023-02-14,4.607744381818182e-05,4.436678445454545e-05,4.2656125090909086e-05,4.094546572727273e-05
2023-02-15,4.778810318181818e-05,4.607744381818182e-05,4.436678445454545e-05,4.2656125090909086e-05
2023-02-16,4.949876254545455e-05,4.778810318181818e-05,4.607744381818182e-05,4.436678445454545e-05
2023-02-17,5.1209421909090906e-05,4.949876254545455e-05,4.778810318181818e-05,4.607744381818182e-05
2023-02-18,5.292008127272728e-05,5.1209421909090906e-05,4.949876254545455e-05,4.778810318181818e-05
2023-02-19,5.463074063636364e-05,5.292008127272728e-05,5.1209421909090906e-05,4.949876254545455e-05
2023-02-20,5.63414e-05,5.463074063636364e-05,5.292008127272728e-05,5.1209421909090906e-05
2023-02-21,4.898072475e-05,5.63414e-05,5.463074063636364e-05,5.292008127272728e-05
2023-02-22,4.1620049500000003e-05,4.898072475e-05,5.63414e-05,5.463074063636364e-05
2023-02-23,3.425937425e-05,4.1620049500000003e-05,4.898072475e-05,5.63414e-05
2023-02-24,2.6898699e-05,3.425937425e-05,4.1620049500000003e-05,4.898072475e-05
2023-02-25,2.591407585714286e-05,2.6898699e-05,3.425937425e-05,4.1620049500000003e-05
2023-02-26,2.4929452714285715e-05,2.591407585714286e-05,2.6898699e-05,3.425937425e-05
2023-02-27,2.3944829571428573e-05,2.4929452714285715e-05,2.591407585714286e-05,2.6898699e-05
2023-02-28,2.2960206428571428e-05,2.3944829571428573e-05,2.4929452714285715e-05,2.591407585714286e-05
2023-03-01,2.1975583285714286e-05,2.2960206428571428e-05,2.3944829571428573e-05,2.4929452714285715e-05
2023-03-02,2.099096014285714e-05,2.1975583285714286e-05,2.2960206428571428e-05,2.3944829571428573e-05
2023-03-03,2.0006337e-05,2.099096014285714e-05,2.1975583285714286e-05,2.2960206428571428e-05
2023-03-04,2.455564133333333e-05,2.0006337e-05,2.099096014285714e-05,2.1975583285714286e-05
2023-03-05,2.9104945666666662e-05,2.455564133333333e-05,2.0006337e-05,2.099096014285714e-05
2023-03-06,3.365425e-05,2.9104945666666662e-05,2.455564133333333e-05,2.0006337e-05
2023-03-07,3.5338788e-05,3.365425e-05,2.9104945666666662e-05,2.455564133333333e-05
2023-03-08,2.726884866666667e-05,3.5338788e-05,3.365425e-05,2.9104945666666662e-05
2023-03-09,1.9198909333333335e-05,2.726884866666667e-05,3.5338788e-05,3.365425e-05
2023-03-10,1.112897e-05,1.9198909333333335e-05,2.726884866666667e-05,3.5338788e-05
2023-03-11,4.3899936e-07,1.112897e-05,1.9198909333333335e-05,2.726884866666667e-05
2023-03-12,2.603724224e-06,4.3899936e-07,1.112897e-05,1.9198909333333335e-05
2023-03-13,4.768449087999999e-06,2.603724224e-06,4.3899936e-07,1.112897e-05
2023-03-14,6.933173951999999e-06,4.768449087999999e-06,2.603724224e-06,4.3899936e-07
2023-03-15,9.097898815999999e-06,6.933173951999999e-06,4.768449087999999e-06,2.603724224e-06
2023-03-16,1.1262623679999999e-05,9.097898815999999e-06,6.933173951999999e-06,4.768449087999999e-06
2023-03-17,1.3427348543999998e-05,1.1262623679999999e-05,9.097898815999999e-06,6.933173951999999e-06
2023-03-18,1.5592073407999998e-05,1.3427348543999998e-05,1.1262623679999999e-05,9.097898815999999e-06
2023-03-19,1.7756798272e-05,1.5592073407999998e-05,1.3427348543999998e-05,1.1262623679999999e-05
2023-03-20,1.9921523135999998e-05,1.7756798272e-05,1.5592073407999998e-05,1.3427348543999998e-05
2023-03-21,2.2086248e-05,1.9921523135999998e-05,1.7756798272e-05,1.5592073407999998e-05
2023-03-22,2.349511510526316e-05,2.2086248e-05,1.9921523135999998e-05,1.7756798272e-05
2023-03-23,2.4903982210526317e-05,2.349511510526316e-05,2.2086248e-05,1.9921523135999998e-05
2023-03-24,2.6312849315789472e-05,2.4903982210526317e-05,2.349511510526316e-05,2.2086248e-05
2023-03-25,2.772171642105263e-05,2.6312849315789472e-05,2.4903982210526317e-05,2.349511510526316e-05
2023-03-26,2.913058352631579e-05,2.772171642105263e-05,2.6312849315789472e-05,2.4903982210526317e-05
2023-03-27,3.053945063157895e-05,2.913058352631579e-05,2.772171642105263e-05,2.6312849315789472e-05
2023-03-28,3.1948317736842106e-05,3.053945063157895e-05,2.913058352631579e-05,2.772171642105263e-05
2023-03-29,3.3357184842105265e-05,3.1948317736842106e-05,3.053945063157895e-05,2.913058352631579e-05
2023-03-30,3.476605194736842e-05,3.3357184842105265e-05,3.1948317736842106e-05,3.053945063157895e-05
2023-03-31,3.6174919052631575e-05,3.476605194736842e-05,3.3357184842105265e-05,3.1948317736842106e-05
2023-04-01,3.758378615789473e-05,3.6174919052631575e-05,3.476605194736842e-05,3.3357184842105265e-05
2023-04-02,3.899265326315789e-05,3.758378615789473e-05,3.6174919052631575e-05,3.476605194736842e-05
2023-04-03,4.040152036842105e-05,3.899265326315789e-05,3.758378615789473e-05,3.6174919052631575e-05
2023-04-04,4.181038747368421e-05,4.040152036842105e-05,3.899265326315789e-05,3.758378615789473e-05
2023-04-05,4.321925457894737e-05,4.181038747368421e-05,4.040152036842105e-05,3.899265326315789e-05
2023-04-06,4.4628121684210526e-05,4.321925457894737e-05,4.181038747368421e-05,4.040152036842105e-05
2023-04-07,4.6036988789473684e-05,4.4628121684210526e-05,4.321925457894737e-05,4.181038747368421e-05
2023-04-08,4.744585589473684e-05,4.6036988789473684e-05,4.4628121684210526e-05,4.321925457894737e-05
2023-04-09,4.8854723e-05,4.744585589473684e-05,4.6036988789473684e-05,4.4628121684210526e-05
2023-04-10,5.2120120000000004e-05,4.8854723e-05,4.744585589473684e-05,4.6036988789473684e-05
2023-04-11,5.5385517e-05,5.2120120000000004e-05,4.8854723e-05,4.744585589473684e-05
2023-04-12,5.3047235e-05,5.5385517e-05,5.2120120000000004e-05,4.8854723e-05
2023-04-13,3.95011635e-05,5.3047235e-05,5.5385517e-05,5.2120120000000004e-05
